index,lat,lon,alt,heading,pitch,roll,yaw
156,20.6351116667,-103.7928016667,2142.0,67.0,3.41,-5.73,64.66
157,20.6351833333,-103.7926283333,2141.0,65.0,3.21,-4.85,60.3
158,20.6352866667,-103.7924,2140.0,62.0,3.53,-7.65,55.65
159,20.6353733333,-103.79223,2140.0,60.0,2.61,-9.93,51.09
160,20.6355333333,-103.791955,2139.0,56.0,-3.48,-6.89,48.88
161,20.6356016667,-103.7918466667,2138.0,55.0,-1.71,-5.32,44.94
162,20.63579,-103.7915766667,2135.0,52.0,-0.75,-4.56,43.2
163,20.635995,-103.7913116667,2133.0,49.0,-1.26,-4.08,41.87
164,20.6361266667,-103.7911566667,2132.0,47.0,-1.09,-5.52,37.76
165,20.6362183333,-103.7910533333,2131.0,46.0,-1.72,-7.13,34.29
166,20.6364566667,-103.790805,2129.0,43.0,-1.37,-6.4,32.06
167,20.6365566667,-103.7907083333,2128.0,41.0,-0.81,-4.29,30.7
168,20.63698,-103.790345,2127.0,37.0,-1.21,-5.44,29.27
169,20.6372566667,-103.7901333333,2127.0,34.0,-0.66,-5.46,26.87
170,20.63737,-103.7900516667,2127.0,33.0,-0.97,-5.57,23.99
171,20.6376616667,-103.7898616667,2125.0,30.0,-0.3,-5.99,21.33
172,20.63778,-103.78979,2125.0,29.0,0.2,-6.49,18.79
173,20.63808,-103.7896216667,2123.0,26.0,0.63,-6.92,16.52
174,20.6382616667,-103.7895316667,2123.0,24.0,0.58,-5.54,12.88
175,20.6385683333,-103.7893933333,2121.0,21.0,1.12,-7.9,11.94
176,20.6386916667,-103.789345,2120.0,20.0,1.9,-4.5,11.02
177,20.639,-103.7892316667,2119.0,18.0,1.83,-3.91,6.6
178,20.639305,-103.7891333333,2118.0,15.0,1.9,-5.49,3.46
179,20.6394266667,-103.7891,2118.0,14.0,1.97,-4.67,0.67
180,20.6397316667,-103.7890266667,2117.0,11.0,1.46,-6.97,3.82
181,20.6400366667,-103.7889716667,2118.0,8.0,2.21,-9.46,3.24
182,20.64022,-103.7889466667,2119.0,6.0,0.93,-8.55,-1.39
183,20.6403416667,-103.788935,2119.0,5.0,2.84,-8.15,-2.94
184,20.640645,-103.7889166667,2120.0,2.0,1.59,-4.07,-2.15
185,20.6409466667,-103.78891,2120.0,1.0,2.88,-2.25,1.09
186,20.6410666667,-103.7889066667,2120.0,1.0,3.27,-1.54,-1.63
187,20.6413666667,-103.788905,2120.0,359.0,3.16,-2.52,-3.04
188,20.641545,-103.7889066667,2121.0,359.0,2.47,-1.98,-0.72
189,20.6418433333,-103.7889066667,2122.0,0.0,2.11,1.03,-6.72
190,20.6419633333,-103.788905,2123.0,0.0,1.69,-1.89,-12.45
191,20.6422616667,-103.7889083333,2123.0,358.0,1.28,-1.74,-12.15
192,20.6423833333,-103.7889116667,2123.0,358.0,1.88,3.04,-3.56
193,20.642685,-103.78892,2124.0,359.0,2.35,3.9,-1.05
194,20.642865,-103.78892,2124.0,0.0,1.94,0.39,-3.4
195,20.6431666667,-103.7889183333,2125.0,0.0,0.73,-2.13,-6.26
196,20.6432883333,-103.78892,2125.0,359.0,0.92,-2.01,-6.22
197,20.6435933333,-103.788925,2126.0,358.0,1.3,-1.21,-4.09
198,20.643715,-103.78893,2126.0,358.0,1.6,1.82,-4.79
199,20.6440216667,-103.78894,2126.0,358.0,1.4,2.27,-6.97
200,20.644205,-103.7889466667,2126.0,358.0,1.2,3.71,-5.88
201,20.6445116667,-103.788955,2126.0,358.0,1.39,2.6,-2.62
202,20.6448216667,-103.78896,2125.0,359.0,2.14,1.97,-1.59
203,20.64507,-103.7889583333,2124.0,0.0,2.33,1.24,-3.4
204,20.645255,-103.7889583333,2124.0,360.0,1.85,-0.71,-5.01
205,20.6455633333,-103.78896,2123.0,359.0,2.66,1.59,-4.3
206,20.6456866667,-103.7889616667,2122.0,359.0,2.71,0.25,-3.69
207,20.645995,-103.7889633333,2121.0,359.0,2.82,-0.17,-3.52
208,20.64618,-103.788965,2121.0,359.0,2.83,-0.26,-4.18
209,20.646425,-103.78897,2121.0,358.0,2.23,-0.68,-3.73
210,20.64661,-103.788975,2121.0,358.0,2.67,0.6,-2.25
211,20.6467316667,-103.7889783333,2121.0,358.0,2.06,1.67,-2.07
212,20.6472216667,-103.7889916667,2122.0,358.0,2.33,-0.99,-5.09
213,20.647345,-103.7889966667,2123.0,358.0,1.21,-2.09,-10.5
214,20.64765,-103.78901,2124.0,356.0,0.87,-2.45,-13.42
215,20.6478316667,-103.7890216667,2124.0,356.0,0.48,-0.17,-12.99
216,20.6480766667,-103.7890416667,2124.0,355.0,1.32,-0.16,-10.35
217,20.64826,-103.7890583333,2124.0,354.0,0.71,-0.87,-13.19
218,20.6485666667,-103.7890916667,2125.0,353.0,-0.04,-3.4,-19.04
219,20.64869,-103.7891083333,2125.0,352.0,-1.12,-5.62,-22.03
220,20.6488716667,-103.7891383333,2125.0,350.0,-0.6,-5.97,-25.4
221,20.6491766667,-103.7892033333,2125.0,347.0,-0.72,-4.06,-26.49
222,20.6494183333,-103.7892666667,2125.0,344.0,-0.51,-7.29,-27.34
223,20.6495983333,-103.7893233333,2126.0,343.0,-0.91,-4.14,-30.35
224,20.649895,-103.7894266667,2126.0,340.0,-0.68,-5.74,-32.76
225,20.6500116667,-103.789475,2126.0,339.0,-0.56,-5.86,-32.72
226,20.6503033333,-103.789605,2126.0,336.0,-0.89,-5.93,-36.92
227,20.650475,-103.78969,2126.0,334.0,-0.79,-6.05,-41.03
228,20.650755,-103.789845,2126.0,331.0,-0.85,-6.23,-42.6
229,20.6508633333,-103.78991,2126.0,329.0,-0.65,-8.05,-45.66
230,20.65113,-103.7900883333,2126.0,326.0,0.19,-3.92,-46.94
231,20.651385,-103.79028,2126.0,323.0,-0.31,-4.2,-48.95
232,20.651485,-103.7903616667,2126.0,322.0,-0.13,-3.44,-51.04
233,20.6516316667,-103.790485,2126.0,321.0,-0.47,-5.8,-54.24
234,20.65196,-103.7907866667,2126.0,317.0,-1.02,-7.15,-61.44
235,20.6520916667,-103.7909233333,2126.0,315.0,-0.85,-6.43,-64.6
236,20.6521766667,-103.7910166667,2126.0,313.0,1.44,-3.25,-64.19
237,20.6523816667,-103.791255,2124.0,311.0,1.41,-3.07,-63.79
238,20.6525783333,-103.7914983333,2122.0,310.0,2.39,-0.36,-62.74
239,20.65277,-103.7917433333,2121.0,309.0,2.33,-1.79,-68.03
240,20.6528433333,-103.7918416667,2121.0,308.0,1.05,-4.69,-72.92
241,20.6530166667,-103.792095,2121.0,304.0,0.23,-5.41,-75.98
242,20.6530833333,-103.7921966667,2121.0,303.0,1.18,-4.39,-78.53
243,20.6532366667,-103.7924566667,2121.0,301.0,1.05,-3.18,-81.54
244,20.6533233333,-103.7926166667,2121.0,299.0,0.77,-8.7,-84.49
245,20.65345,-103.792885,2121.0,295.0,0.35,-6.37,-87.46
246,20.653495,-103.7929916667,2121.0,293.0,0.53,-5.74,-87.72
247,20.6535966667,-103.7932683333,2121.0,290.0,1.35,-6.54,-87.65
248,20.65365,-103.793435,2121.0,288.0,1.16,-6.35,-93.09
249,20.6537116667,-103.79366,2121.0,284.0,-0.02,-9.44,-97.35
250,20.6537483333,-103.7938283333,2121.0,282.0,0.72,-7.07,-100.65
251,20.6537933333,-103.79411,2120.0,278.0,1.59,-4.69,-104.9
252,20.6538066667,-103.7942233333,2120.0,276.0,0.91,-4.21,-106.39
253,20.65383,-103.794505,2121.0,273.0,2.03,-2.57,-101.27
